adult,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,revenue,production_companies,budget
False,"[53, 9648, 18]",328425,en,The Gift,24.312,2015-07-31,The Gift,6.704,3075,58978653.0,"['Blumhouse Productions', 'Blue-Tongue Films', 'Ahimsa Films']",5000000.0
False,"[80, 18, 53]",9519,en,Chopper,45.643,2000-06-21,Chopper,6.704,335,236185.0,"['Pariah', 'Mushroom Pictures', 'Australian Film Finance Corporation']",0.0
False,"[12, 28, 35, 53, 80]",943,en,Lethal Weapon 3,34.102,1992-05-15,Lethal Weapon 3,6.704,2750,321700000.0,"['Silver Pictures', 'Warner Bros. Pictures', 'St. Petersburg Clearwater Film Commision']",35000000.0
False,"[18, 10749]",337167,en,Fifty Shades Freed,92.529,2018-01-17,Fifty Shades Freed,6.703,7734,368300000.0,"['Universal Pictures', 'Michael De Luca Productions', 'Perfect World Pictures']",55000000.0
False,"[28, 18, 10752]",74513,fr,Forces spéciales,25.461,2011-11-02,Special Forces,6.703,543,3424648.0,"['Sofica Manon', 'Easy Company', 'StudioCanal', 'TPS Star', 'A Plus Image 2', 'Canal+']",10000000.0
False,"[18, 12, 53]",9960,en,Lord of the Flies,18.207,1963-08-13,Lord of the Flies,6.703,482,0.0,['Two Arts Ltd.'],250000.0
False,"[53, 28, 18]",4349,en,The Kingdom,30.528,2007-08-22,The Kingdom,6.703,1551,86658558.0,"['Universal Pictures', 'Forward Pass', 'Relativity Media', 'FilmWorks', 'MDBF Zweite Filmgesellschaft']",70000000.0
False,"[10751, 10770, 16]",359983,en,The Lion Guard: Return of the Roar,25.957,2015-11-22,The Lion Guard: Return of the Roar,6.702,1215,0.0,"['Disney Television Animation', 'Mercury Filmworks']",0.0
False,[35],11302,en,Bananas,18.68,1971-04-28,Bananas,6.702,693,11833696.0,"['Jack Rollins & Charles H. Joffe Productions', 'United Artists']",2000000.0
False,"[10749, 18]",10744,en,The Cooler,10.653,2003-11-26,The Cooler,6.702,322,10400000.0,"['Pierce/Williams Entertainment', 'ContentFilm', 'Lions Gate Films']",4000000.0
False,"[35, 10402]",8872,en,Wayne's World,22.363,1992-02-14,Wayne's World,6.702,2102,183097323.0,['Paramount'],20000000.0
False,"[16, 878, 28]",269650,ja,Appleseed Alpha,13.802,2014-05-28,Appleseed Alpha,6.701,350,0.0,['Stage 6 Films'],0.0
False,"[28, 80, 53]",4108,en,The Transporter,44.385,2002-10-02,The Transporter,6.701,5081,43900000.0,"['TF1 Films Production', 'EuropaCorp', 'Current Entertainment', 'Canal+']",21000000.0
False,"[27, 10752, 878]",438799,en,Overlord,38.669,2018-11-01,Overlord,6.701,2707,41657844.0,"['Bad Robot', 'Paramount']",38000000.0
False,"[10752, 53, 18]",334522,en,Alone in Berlin,21.776,2016-02-15,Alone in Berlin,6.7,360,33125.0,"['Pathé', 'Lipsync Productions', 'Master Movies', 'FilmWave', 'WS Film', 'Canal+', 'X Filme Creative Pool', 'Buffalo Films']",0.0
False,"[27, 28, 53]",11880,en,Dog Soldiers,26.784,2002-05-10,Dog Soldiers,6.7,801,3537283.0,"['The Victor Film Company', 'The Carousel Picture Company', 'The Noel Gay Motion Picture Company', 'Kismet Entertainment Group', 'Luxembourg Film Fund']",2000000.0
False,[27],10585,en,Child's Play,60.726,1988-11-09,Child's Play,6.701,2779,44196684.0,"['United Artists', 'David Kirschner Productions']",9000000.0
False,"[9648, 27]",591273,en,Fear Street: 1994,37.09,2021-06-28,Fear Street: 1994,6.699,2138,0.0,['Chernin Entertainment'],0.0
False,"[36, 18, 10402]",402529,en,All Eyez on Me,23.232,2017-06-12,All Eyez on Me,6.699,1130,44922302.0,"['Morgan Creek Entertainment', 'The Program Pictures', 'Voltage Pictures', 'Codeblack Films', 'Summit Entertainment', 'Lionsgate']",40000000.0
False,"[80, 35]",353070,en,Going in Style,43.216,2017-04-06,Going in Style,6.699,2670,84618541.0,"['Village Roadshow Pictures', 'New Line Cinema', 'De Line Pictures', 'RatPac Entertainment', 'Warner Bros. Pictures']",25000000.0
False,"[18, 878]",55420,en,Another Earth,19.022,2011-07-22,Another Earth,6.699,1548,1938783.0,"['Artists Public Domain', 'Fox Searchlight Pictures']",100000.0
False,"[18, 10749]",339419,en,Loving,18.107,2016-11-04,Loving,6.7,882,8996802.0,"['Big Beach', 'Raindog Films', 'Augusta Films', 'Tri-State Pictures']",9000000.0
False,"[80, 18, 9648]",11022,en,Narc,27.086,2002-01-14,Narc,6.698,484,12633747.0,"['Splendid Film', 'Julius R. Nasso Productions', 'Tiara Blu Films', 'Cruise/Wagner Productions', 'EFO Films']",6500000.0
False,"[18, 80]",8065,en,21,38.564,2008-03-27,21,6.698,4452,159808370.0,"['Columbia Pictures', 'Relativity Media', 'Michael De Luca Productions', 'Trigger Street Productions']",35000000.0
False,"[16, 10751, 35, 12]",950,en,Ice Age: The Meltdown,61.499,2006-03-29,Ice Age: The Meltdown,6.698,9343,660998756.0,"['20th Century Fox Animation', 'Blue Sky Studios', '20th Century Fox']",80000000.0
False,"[28, 12, 35, 14]",621870,en,Secret Society of Second Born Royals,18.771,2020-09-25,Secret Society of Second Born Royals,6.697,515,0.0,"['Walt Disney Television', 'GulfStream Pictures', 'Maple Plus Productions']",0.0
False,"[28, 35, 80, 53]",522931,en,Hitman's Wife's Bodyguard,34.717,2021-06-14,Hitman's Wife's Bodyguard,6.7,2096,70060492.0,"['Nu Boyana Film Studios', 'Summit Entertainment', 'Lionsgate', 'Millennium Media', 'Davis Films']",70000000.0
False,"[35, 18]",11235,en,Local Hero,19.491,1983-02-17,Local Hero,6.697,317,5900000.0,"['Enigma Productions', 'Goldcrest', 'Film4 Productions', 'Celandine Films']",4200000.0
False,"[28, 12, 878]",1930,en,The Amazing Spider-Man,79.504,2012-06-23,The Amazing Spider-Man,6.697,16760,757930663.0,"['Marvel Entertainment', 'Laura Ziskin Productions', 'Columbia Pictures', 'Matt Tolmach Productions', 'Arad Productions']",215000000.0
False,"[10402, 35, 18]",498402,fr,Aline,14.26,2020-11-19,Aline,6.695,334,11131254.0,"['Caramel Films', 'Rectangle Productions', 'TF1 Studio', 'Gaumont', 'Belga Productions', 'Téléfilm Canada', 'Entourage Pictures']",25900000.0
False,"[18, 36]",418879,en,The Current War,26.968,2018-02-01,The Current War,6.695,1011,12217160.0,"['Bazelevs Production', 'Film Rites', 'Fourth Floor Productions', '13 Films', 'Thunder Road']",30000000.0
False,"[27, 35, 878]",15762,en,Night of the Creeps,19.079,1986-08-21,Night of the Creeps,6.7,463,591366.0,"['TriStar Pictures', 'Delphi V']",5000000.0
False,"[16, 28, 878]",11633,ja,アップルシード,12.983,2004-04-17,Appleseed,6.695,331,1461989.0,"['TOHO', 'TBS', 'Digital Frontier', 'Geneon Entertainment', 'MBS', 'Micott Basara K.K.', 'TYO Productions', 'Appleseed Film Partners']",10000000.0
False,"[10749, 18, 35]",1909,en,Don Juan DeMarco,17.642,1994-10-12,Don Juan DeMarco,6.695,703,68792531.0,"['American Zoetrope', 'New Line Cinema', 'Juno Pix', 'Outlaw Productions']",25000000.0
False,"[18, 36, 53]",493551,en,Operation Finale,23.42,2018-08-29,Operation Finale,6.694,933,17506878.0,"['Automatik Entertainment', 'Metro-Goldwyn-Mayer']",24000000.0
False,"[18, 10749, 878, 12]",401513,ru,Притяжение,19.725,2017-01-26,Attraction,6.694,765,19454845.0,"['Vodorod 2011', 'Art Pictures Studio']",5027266.0
False,"[12, 18]",332794,fr,L'Odyssée,13.12,2016-10-12,The Odyssey,6.694,396,9722918.0,"['Moana Films', 'Pan Européenne Production', 'Fidélité Films', 'Curiosa Films']",20000000.0
False,"[27, 878, 53]",11542,en,Altered States,19.593,1980-12-25,Altered States,6.7,602,19853892.0,['Warner Bros. Pictures'],15000000.0
False,"[28, 80, 53, 9648]",11371,en,The Score,24.78,2001-07-13,The Score,6.694,1545,113579918.0,"['Horseshoe Bay Productions', 'Paramount', 'Mandalay Pictures', 'StudioCanal', 'CP Medien', 'MP Film Management', 'Lions Gate Films']",68000000.0
False,"[35, 28, 80, 12]",2330,fr,Taxi,40.026,1998-04-08,Taxi,6.694,2354,44500000.0,"['EuropaCorp', 'ARP Sélection', 'Cofimage 9', 'Studio Image 4', 'Canal+', 'TF1 Films Production', 'TF1 International', 'StudioCanal']",8700000.0
False,"[27, 9648, 53]",768,en,From Hell,22.049,2001-02-08,From Hell,6.7,2666,74558115.0,"['Underworld Entertainment', '20th Century Fox']",35000000.0
False,[35],814776,en,Bottoms,41.577,2023-08-25,Bottoms,6.7,462,12725395.0,"['Brownstone Productions', 'Orion Pictures']",11300000.0
False,"[80, 9648, 53]",722149,en,Luther: The Fallen Sun,28.088,2023-02-24,Luther: The Fallen Sun,6.693,836,0.0,"['Chernin Entertainment', 'BBC Film', 'BBC Studios']",0.0
False,"[28, 12, 35, 80, 53]",39514,en,RED,46.556,2010-10-13,RED,6.693,6450,199000000.0,"['di Bonaventura Pictures', 'DC Comics', 'Summit Entertainment']",58000000.0
False,"[18, 53, 80, 9648]",10731,en,The Client,24.563,1994-07-20,The Client,6.7,1058,117615211.0,"['Alcor Films', 'Regency Enterprises', 'Warner Bros. Pictures']",45000000.0
False,"[53, 18, 9648]",8271,en,Disturbia,42.828,2007-04-12,Disturbia,6.693,3368,117760134.0,"['DreamWorks Pictures', 'Cold Spring Pictures', 'The Montecito Picture Company']",20000000.0
False,[18],278236,en,X+Y,28.352,2014-03-13,X+Y,6.692,530,0.0,"['Original Pictures', 'Head Gear Films', 'Minnow Films', 'BBC Film', 'BFI']",0.0
False,[18],236751,en,Heaven Is for Real,114.263,2014-04-16,Heaven Is for Real,6.691,730,101300000.0,"['TriStar Pictures', 'Screen Gems', 'Roth Films']",12000000.0
False,"[878, 53]",505948,en,I Am Mother,14.701,2019-06-07,I Am Mother,6.69,2416,643593.0,"['Mother Film Holdings', 'Rhea Films', 'Southern Light Films', 'The Penguin Empire', 'Fin Design & Effects', 'Adelaide Film Festival Investment Fund']",0.0
False,"[10749, 18]",24803,en,Julie & Julia,22.659,2009-08-06,Julie & Julia,6.69,1998,129500000.0,"['Columbia Pictures', 'Easy There Tiger Productions', 'Scott Rudin Productions']",40000000.0
False,"[28, 53]",552688,en,The Mother,41.105,2023-05-04,The Mother,6.689,1141,0.0,"['Vertigo Entertainment', 'Nuyorican Productions']",0.0
False,"[35, 10749]",523773,en,Little Italy,24.858,2018-08-24,Little Italy,6.689,610,0.0,"['Téléfilm Canada', 'First Take Entertainment', 'Voltage Pictures']",0.0
False,"[27, 53]",517116,en,Haunt,32.172,2019-09-13,Haunt,6.689,1115,0.0,"['Broken Road Productions', 'Nickel City Pictures', 'Sierra/Affinity']",0.0
False,"[18, 35, 10749]",276844,en,The Little Death,18.586,2014-06-13,The Little Death,6.689,447,0.0,"['Metrol Technology', 'Head Gear Films', 'Spectrum Films', 'See Pictures']",0.0
