adult,genre_ids,id,original_language,popularity,release_date,title,vote_average,vote_count,revenue,production_companies,budget,release_year,release_month,num_genres,release_season,budget_revenue_ratio
False,"[53, 28, 16, 878]",471474,en,25.497,2018-01-12,Batman: Gotham by Gaslight,6.657,666,3469151.0,"['Warner Bros. Animation', 'DC Entertainment']",1000000.0,2018,1,4,Winter,0.2882549649755805
False,"[35, 14]",330764,fr,16.039,2015-09-02,The Brand New Testament,6.657,1563,15709652.0,"['Caviar', 'Climax Films', 'VOO', 'Orange Studio', 'Bac Cinema', 'Terra Incognita Films', 'Après le Déluge', 'Belga Productions', 'RTBF', 'BeTV', 'BNP Paribas Fortis']",8700000.0,2015,9,2,Fall,0.5537996640536659
False,"[10749, 35]",50544,en,48.577,2011-07-21,Friends with Benefits,6.657,7631,149500000.0,"['Castle Rock Entertainment', 'Olive Bridge Entertainment', 'Zucker Productions', 'Screen Gems']",35000000.0,2011,7,2,Summer,0.23411371237458195
False,"[14, 35, 10751]",11283,en,43.793,2005-10-21,Nanny McPhee,6.657,2904,123276807.0,"['Metro-Goldwyn-Mayer', 'Three Strange Angels', 'Nanny McPhee Productions', 'Working Title Films', 'StudioCanal', 'Working Title Films']",25000000.0,2005,10,3,Fall,0.20279564833310454
False,"[18, 10749]",119675,en,23.842,2013-05-26,Behind the Candelabra,6.656,746,15600000.0,"['Jerry Weintraub Productions', 'HBO Films']",23000000.0,2013,5,2,Spring,1.4743589743589745
False,"[28, 53]",10135,en,76.985,1989-05-19,Road House,6.656,1064,30100000.0,"['United Artists', 'Star Partners II Ltd.', 'Silver Pictures']",15000000.0,1989,5,2,Spring,0.4983388704318937
False,"[12, 18, 10749, 14]",78698,en,28.093,2012-02-02,Big Miracle,6.655,465,24719215.0,"['Working Title Films', 'Universal Pictures', 'Anonymous Content', 'Dune Entertainment', 'Ingenious Film Partners', 'Big Screen Productions', 'Haishang Films', 'Working Title Films']",40000000.0,2012,2,4,Winter,1.618174363546739
False,"[10749, 18]",11541,en,17.962,1982-12-17,The Year of Living Dangerously,6.7,300,1300000.0,"['McElroy & McElroy', 'Metro-Goldwyn-Mayer', 'United International Pictures', 'Freddie Fields Productions']",6000000.0,1982,12,2,Winter,4.615384615384615
False,"[28, 53]",3595,en,21.965,1996-11-08,Ransom,6.655,1718,309492681.0,['Touchstone Pictures'],80000000.0,1996,11,2,Fall,0.2584875343142606
False,"[53, 18]",2251,en,32.847,2002-05-10,Unfaithful,6.654,1437,119137784.0,"['Fox 2000 Pictures', 'Regency Enterprises', '20th Century Fox']",50000000.0,2002,5,2,Spring,0.4196821387915021
False,[35],11566,en,31.255,1993-05-07,Dave,6.653,704,92000000.0,"['Donner/Shuler-Donner Productions', 'Northern Lights Entertainment', 'Warner Bros. Pictures']",28000000.0,1993,5,1,Spring,0.30434782608695654
